FIPS_Code,State,County,Year,Unemployment_rate_2023,Poverty_Rate_Pct,Median_Income,Population,Education_Bachelor_Pct,Low_Access_Pct,Food_Insecurity_Rate,Child_Food_Insecurity_Rate,Food_Insecure_Persons,Snap_Threshold,Pct_FI_Below_Snap,Border_State,Is_Border_County
04003,AZ,"Cochise County, AZ",2019,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.142,0.214,17830,1.85,0.736,Border State,Border County
04003,AZ,"Cochise County, AZ",2020,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.126,0.199,15880,1.85,0.73,Border State,Border County
04003,AZ,"Cochise County, AZ",2021,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.111,0.162,13820,1.85,0.729,Border State,Border County
04003,AZ,"Cochise County, AZ",2022,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.148,0.224,18550,1.85,0.721,Border State,Border County
04003,AZ,"Cochise County, AZ",2023,4.5,16.3,55254,124640,27.657715188384362,43.89905166625977,0.163,0.226,20490,1.85,0.693,Border State,Border County
04019,AZ,"Pima County, AZ",2019,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.133,0.189,136740,1.85,0.716,Border State,Border County
04019,AZ,"Pima County, AZ",2020,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.126,0.194,130860,1.85,0.713,Border State,Border County
04019,AZ,"Pima County, AZ",2021,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.109,0.147,112480,1.85,0.69,Border State,Border County
04019,AZ,"Pima County, AZ",2022,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.14,0.197,146200,1.85,0.663,Border State,Border County
04019,AZ,"Pima County, AZ",2023,3.8000000000000003,14,64007,1063162,35.870627429205996,28.64681243896484,0.151,0.192,158260,1.85,0.628,Border State,Border County
04023,AZ,"Santa Cruz County, AZ",2019,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.146,0.226,6760,1.85,1,Border State,Border County
04023,AZ,"Santa Cruz County, AZ",2020,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.14,0.24,6540,1.85,0.989,Border State,Border County
04023,AZ,"Santa Cruz County, AZ",2021,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.132,0.184,6280,1.85,0.847,Border State,Border County
04023,AZ,"Santa Cruz County, AZ",2022,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.176,0.226,8430,1.85,0.829,Border State,Border County
04023,AZ,"Santa Cruz County, AZ",2023,7.6000000000000005,20.1,53467,49158,24.069518545733363,36.2806282043457,0.186,0.209,8960,1.85,0.806,Border State,Border County
04027,AZ,"Yuma County, AZ",2019,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.182,0.295,38200,1.85,0.858,Border State,Border County
04027,AZ,"Yuma County, AZ",2020,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.162,0.283,34400,1.85,0.872,Border State,Border County
04027,AZ,"Yuma County, AZ",2021,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.146,0.212,29710,1.85,0.796,Border State,Border County
04027,AZ,"Yuma County, AZ",2022,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.188,0.262,38510,1.85,0.8,Border State,Border County
04027,AZ,"Yuma County, AZ",2023,13.200000000000001,15.9,54209,213221,16.671988356637385,24.71905517578125,0.195,0.243,40550,1.85,0.753,Border State,Border County
06025,CA,"Imperial County, CA",2019,17.3,17.3,55523,179057,16.100269483279376,17.64111709594727,0.191,0.31,34580,2,0.923,Border State,Border County
06025,CA,"Imperial County, CA",2020,17.3,17.3,55523,179057,16.100269483279376,17.64111709594727,0.19,0.327,34270,2,0.847,Border State,Border County
06025,CA,"Imperial County, CA",2021,17.3,17.3,55523,179057,16.100269483279376,17.64111709594727,0.17,0.245,30630,2,0.846,Border State,Border County
06025,CA,"Imperial County, CA",2022,17.3,17.3,55523,179057,16.100269483279376,17.64111709594727,0.21,0.282,37760,2,0.854,Border State,Border County
06025,CA,"Imperial County, CA",2023,17.3,17.3,55523,179057,16.100269483279376,17.64111709594727,0.216,0.257,38670,2,0.874,Border State,Border County
