FIPS_Code,State,County,Year,Unemployment_rate_2023,Poverty_Rate_Pct,Median_Income,Population,Education_Bachelor_Pct,Low_Access_Pct,Food_Insecurity_Rate,Child_Food_Insecurity_Rate,Food_Insecure_Persons,Snap_Threshold,Pct_FI_Below_Snap,Border_State,Is_Border_County
01001,AL,"Autauga County, AL",2019,2.2,11.700000000000001,70148,60342,28.28267961831874,33.90670013427734,0.157,0.196,8670,1.3,0.486,Non-Border State,Non-Border
01001,AL,"Autauga County, AL",2020,2.2,11.700000000000001,70148,60342,28.28267961831874,33.90670013427734,0.145,0.181,8070,1.3,0.476,Non-Border State,Non-Border
01001,AL,"Autauga County, AL",2021,2.2,11.700000000000001,70148,60342,28.28267961831874,33.90670013427734,0.133,0.145,7770,1.3,0.483,Non-Border State,Non-Border
01001,AL,"Autauga County, AL",2022,2.2,11.700000000000001,70148,60342,28.28267961831874,33.90670013427734,0.151,0.175,8860,1.3,0.44,Non-Border State,Non-Border
01001,AL,"Autauga County, AL",2023,2.2,11.700000000000001,70148,60342,28.28267961831874,33.90670013427734,0.151,0.169,8970,1.3,0.431,Non-Border State,Non-Border
01003,AL,"Baldwin County, AL",2019,2.3000000000000003,10,71704,253507,32.79763704444496,25.12223815917969,0.134,0.144,28590,1.3,0.391,Non-Border State,Non-Border
01003,AL,"Baldwin County, AL",2020,2.3000000000000003,10,71704,253507,32.79763704444496,25.12223815917969,0.124,0.12,27070,1.3,0.375,Non-Border State,Non-Border
01003,AL,"Baldwin County, AL",2021,2.3000000000000003,10,71704,253507,32.79763704444496,25.12223815917969,0.118,0.097,26830,1.3,0.393,Non-Border State,Non-Border
01003,AL,"Baldwin County, AL",2022,2.3000000000000003,10,71704,253507,32.79763704444496,25.12223815917969,0.149,0.147,34770,1.3,0.405,Non-Border State,Non-Border
01003,AL,"Baldwin County, AL",2023,2.3000000000000003,10,71704,253507,32.79763704444496,25.12223815917969,0.148,0.145,35500,1.3,0.411,Non-Border State,Non-Border
01005,AL,"Barbour County, AL",2019,4.4,25.5,41151,24585,11.464715225777173,20.52067947387695,0.207,0.324,5250,1.3,0.663,Non-Border State,Non-Border
01005,AL,"Barbour County, AL",2020,4.4,25.5,41151,24585,11.464715225777173,20.52067947387695,0.195,0.334,4870,1.3,0.615,Non-Border State,Non-Border
01005,AL,"Barbour County, AL",2021,4.4,25.5,41151,24585,11.464715225777173,20.52067947387695,0.178,0.298,4500,1.3,0.587,Non-Border State,Non-Border
01005,AL,"Barbour County, AL",2022,4.4,25.5,41151,24585,11.464715225777173,20.52067947387695,0.19,0.338,4730,1.3,0.541,Non-Border State,Non-Border
01005,AL,"Barbour County, AL",2023,4.4,25.5,41151,24585,11.464715225777173,20.52067947387695,0.197,0.324,4870,1.3,0.522,Non-Border State,Non-Border
01007,AL,"Bibb County, AL",2019,2.5,19.400000000000002,54309,21868,11.468206641139917,1.593456983566284,0.163,0.218,3680,1.3,0.478,Non-Border State,Non-Border
01007,AL,"Bibb County, AL",2020,2.5,19.400000000000002,54309,21868,11.468206641139917,1.593456983566284,0.164,0.216,3680,1.3,0.484,Non-Border State,Non-Border
01007,AL,"Bibb County, AL",2021,2.5,19.400000000000002,54309,21868,11.468206641139917,1.593456983566284,0.149,0.179,3350,1.3,0.524,Non-Border State,Non-Border
01007,AL,"Bibb County, AL",2022,2.5,19.400000000000002,54309,21868,11.468206641139917,1.593456983566284,0.191,0.251,4260,1.3,0.491,Non-Border State,Non-Border
01007,AL,"Bibb County, AL",2023,2.5,19.400000000000002,54309,21868,11.468206641139917,1.593456983566284,0.193,0.247,4270,1.3,0.508,Non-Border State,Non-Border
01009,AL,"Blount County, AL",2019,2.1,12.8,60553,59816,15.57902954307043,6.807623863220215,0.145,0.154,8380,1.3,0.462,Non-Border State,Non-Border
01009,AL,"Blount County, AL",2020,2.1,12.8,60553,59816,15.57902954307043,6.807623863220215,0.138,0.127,7980,1.3,0.452,Non-Border State,Non-Border
01009,AL,"Blount County, AL",2021,2.1,12.8,60553,59816,15.57902954307043,6.807623863220215,0.137,0.103,8040,1.3,0.472,Non-Border State,Non-Border
01009,AL,"Blount County, AL",2022,2.1,12.8,60553,59816,15.57902954307043,6.807623863220215,0.174,0.154,10300,1.3,0.482,Non-Border State,Non-Border
01009,AL,"Blount County, AL",2023,2.1,12.8,60553,59816,15.57902954307043,6.807623863220215,0.173,0.155,10280,1.3,0.497,Non-Border State,Non-Border
01011,AL,"Bullock County, AL",2019,2.4000000000000004,33.6,35798,9897,8.999728923827595,68.53353118896484,0.157,0.317,1610,1.3,0.647,Non-Border State,Non-Border
01011,AL,"Bullock County, AL",2020,2.4000000000000004,33.6,35798,9897,8.999728923827595,68.53353118896484,0.16,0.311,1620,1.3,0.679,Non-Border State,Non-Border
01011,AL,"Bullock County, AL",2021,2.4000000000000004,33.6,35798,9897,8.999728923827595,68.53353118896484,0.156,0.299,1620,1.3,0.656,Non-Border State,Non-Border
01011,AL,"Bullock County, AL",2022,2.4000000000000004,33.6,35798,9897,8.999728923827595,68.53353118896484,0.169,0.352,1750,1.3,0.569,Non-Border State,Non-Border
01011,AL,"Bullock County, AL",2023,2.4000000000000004,33.6,35798,9897,8.999728923827595,68.53353118896484,0.19,0.358,1930,1.3,0.585,Non-Border State,Non-Border
01013,AL,"Butler County, AL",2019,2.9000000000000004,23.6,41852,18382,13.764813126709207,11.97491264343262,0.165,0.256,3280,1.3,0.662,Non-Border State,Non-Border
01013,AL,"Butler County, AL",2020,2.9000000000000004,23.6,41852,18382,13.764813126709207,11.97491264343262,0.163,0.282,3210,1.3,0.609,Non-Border State,Non-Border
01013,AL,"Butler County, AL",2021,2.9000000000000004,23.6,41852,18382,13.764813126709207,11.97491264343262,0.138,0.234,2640,1.3,0.621,Non-Border State,Non-Border
01013,AL,"Butler County, AL",2022,2.9000000000000004,23.6,41852,18382,13.764813126709207,11.97491264343262,0.171,0.307,3250,1.3,0.588,Non-Border State,Non-Border
01013,AL,"Butler County, AL",2023,2.9000000000000004,23.6,41852,18382,13.764813126709207,11.97491264343262,0.184,0.298,3470,1.3,0.558,Non-Border State,Non-Border
01015,AL,"Calhoun County, AL",2019,2.8000000000000003,20.1,52772,116429,20.545105370928564,35.90670394897461,0.172,0.226,19660,1.3,0.559,Non-Border State,Non-Border
01015,AL,"Calhoun County, AL",2020,2.8000000000000003,20.1,52772,116429,20.545105370928564,35.90670394897461,0.161,0.218,18430,1.3,0.554,Non-Border State,Non-Border
