FIPS_Code,State,County,Year,Unemployment_rate_2023,Poverty_Rate_Pct,Median_Income,Population,Education_Bachelor_Pct,Low_Access_Pct,Food_Insecurity_Rate,Child_Food_Insecurity_Rate,Food_Insecure_Persons,Snap_Threshold,Pct_FI_Below_Snap,Border_State,Is_Border_County
06001,CA,"Alameda County, CA",2019,4.1000000000000005,9.5,121190,1622188,51.46936470398402,8.083675384521484,0.084,0.099,139810,2,0.568,Border State,Non-Border
06001,CA,"Alameda County, CA",2020,4.1000000000000005,9.5,121190,1622188,51.46936470398402,8.083675384521484,0.093,0.114,154830,2,0.556,Border State,Non-Border
06001,CA,"Alameda County, CA",2021,4.1000000000000005,9.5,121190,1622188,51.46936470398402,8.083675384521484,0.081,0.087,134800,2,0.549,Border State,Non-Border
06001,CA,"Alameda County, CA",2022,4.1000000000000005,9.5,121190,1622188,51.46936470398402,8.083675384521484,0.096,0.116,159150,2,0.52,Border State,Non-Border
06001,CA,"Alameda County, CA",2023,4.1000000000000005,9.5,121190,1622188,51.46936470398402,8.083675384521484,0.11,0.122,182080,2,0.487,Border State,Non-Border
06003,CA,"Alpine County, CA",2019,6.5,15.600000000000001,71646,1141,42.10526315789473,56.96924209594727,0.131,0.194,140,2,0.74,Border State,Non-Border
06003,CA,"Alpine County, CA",2020,6.5,15.600000000000001,71646,1141,42.10526315789473,56.96924209594727,0.117,0.15,140,2,0.765,Border State,Non-Border
06003,CA,"Alpine County, CA",2021,6.5,15.600000000000001,71646,1141,42.10526315789473,56.96924209594727,0.101,0.107,140,2,0.803,Border State,Non-Border
06003,CA,"Alpine County, CA",2022,6.5,15.600000000000001,71646,1141,42.10526315789473,56.96924209594727,0.123,0.14,190,2,0.674,Border State,Non-Border
06003,CA,"Alpine County, CA",2023,6.5,15.600000000000001,71646,1141,42.10526315789473,56.96924209594727,0.118,0.13,200,2,0.52,Border State,Non-Border
06005,CA,"Amador County, CA",2019,5.1000000000000005,11.700000000000001,74356,41811,22.443391582574453,0.1741869747638702,0.107,0.161,4120,2,0.533,Border State,Non-Border
06005,CA,"Amador County, CA",2020,5.1000000000000005,11.700000000000001,74356,41811,22.443391582574453,0.1741869747638702,0.106,0.144,4160,2,0.51,Border State,Non-Border
06005,CA,"Amador County, CA",2021,5.1000000000000005,11.700000000000001,74356,41811,22.443391582574453,0.1741869747638702,0.091,0.114,3660,2,0.567,Border State,Non-Border
06005,CA,"Amador County, CA",2022,5.1000000000000005,11.700000000000001,74356,41811,22.443391582574453,0.1741869747638702,0.111,0.151,4510,2,0.518,Border State,Non-Border
06005,CA,"Amador County, CA",2023,5.1000000000000005,11.700000000000001,74356,41811,22.443391582574453,0.1741869747638702,0.115,0.148,4710,2,0.459,Border State,Non-Border
06007,CA,"Butte County, CA",2019,5.2,19.900000000000002,63353,207172,31.720564273446563,19.11343383789063,0.144,0.187,32450,2,0.758,Border State,Non-Border
06007,CA,"Butte County, CA",2020,5.2,19.900000000000002,63353,207172,31.720564273446563,19.11343383789063,0.14,0.179,31330,2,0.807,Border State,Non-Border
06007,CA,"Butte County, CA",2021,5.2,19.900000000000002,63353,207172,31.720564273446563,19.11343383789063,0.126,0.153,27550,2,0.833,Border State,Non-Border
06007,CA,"Butte County, CA",2022,5.2,19.900000000000002,63353,207172,31.720564273446563,19.11343383789063,0.146,0.194,31210,2,0.773,Border State,Non-Border
06007,CA,"Butte County, CA",2023,5.2,19.900000000000002,63353,207172,31.720564273446563,19.11343383789063,0.156,0.202,32640,2,0.72,Border State,Non-Border
06009,CA,"Calaveras County, CA",2019,4.2,12.200000000000001,73175,46565,22.185801535272034,14.73611736297607,0.118,0.187,5360,2,0.636,Border State,Non-Border
06009,CA,"Calaveras County, CA",2020,4.2,12.200000000000001,73175,46565,22.185801535272034,14.73611736297607,0.114,0.164,5240,2,0.699,Border State,Non-Border
06009,CA,"Calaveras County, CA",2021,4.2,12.200000000000001,73175,46565,22.185801535272034,14.73611736297607,0.112,0.162,5100,2,0.707,Border State,Non-Border
06009,CA,"Calaveras County, CA",2022,4.2,12.200000000000001,73175,46565,22.185801535272034,14.73611736297607,0.131,0.196,5980,2,0.653,Border State,Non-Border
06009,CA,"Calaveras County, CA",2023,4.2,12.200000000000001,73175,46565,22.185801535272034,14.73611736297607,0.136,0.204,6260,2,0.612,Border State,Non-Border
06011,CA,"Colusa County, CA",2019,13,12.3,72963,22037,14.523979957050823,39.32974624633789,0.134,0.219,2870,2,0.907,Border State,Non-Border
06011,CA,"Colusa County, CA",2020,13,12.3,72963,22037,14.523979957050823,39.32974624633789,0.129,0.227,2760,2,0.856,Border State,Non-Border
06011,CA,"Colusa County, CA",2021,13,12.3,72963,22037,14.523979957050823,39.32974624633789,0.124,0.181,2700,2,0.851,Border State,Non-Border
06011,CA,"Colusa County, CA",2022,13,12.3,72963,22037,14.523979957050823,39.32974624633789,0.156,0.224,3400,2,0.774,Border State,Non-Border
06011,CA,"Colusa County, CA",2023,13,12.3,72963,22037,14.523979957050823,39.32974624633789,0.165,0.204,3610,2,0.766,Border State,Non-Border
06013,CA,"Contra Costa County, CA",2019,4.1000000000000005,8.3,119667,1155025,44.91015896659383,23.22831153869629,0.076,0.104,87180,2,0.605,Border State,Non-Border
06013,CA,"Contra Costa County, CA",2020,4.1000000000000005,8.3,119667,1155025,44.91015896659383,23.22831153869629,0.085,0.118,97160,2,0.575,Border State,Non-Border
06013,CA,"Contra Costa County, CA",2021,4.1000000000000005,8.3,119667,1155025,44.91015896659383,23.22831153869629,0.075,0.095,87070,2,0.575,Border State,Non-Border
06013,CA,"Contra Costa County, CA",2022,4.1000000000000005,8.3,119667,1155025,44.91015896659383,23.22831153869629,0.092,0.126,107300,2,0.513,Border State,Non-Border
06013,CA,"Contra Costa County, CA",2023,4.1000000000000005,8.3,119667,1155025,44.91015896659383,23.22831153869629,0.103,0.126,119690,2,0.484,Border State,Non-Border
06015,CA,"Del Norte County, CA",2019,5.7,13.8,57297,26589,20.974160076562736,34.40719223022461,0.158,0.228,4350,2,0.765,Border State,Non-Border
06015,CA,"Del Norte County, CA",2020,5.7,13.8,57297,26589,20.974160076562736,34.40719223022461,0.144,0.2,3990,2,0.727,Border State,Non-Border
06015,CA,"Del Norte County, CA",2021,5.7,13.8,57297,26589,20.974160076562736,34.40719223022461,0.134,0.185,3700,2,0.751,Border State,Non-Border
06015,CA,"Del Norte County, CA",2022,5.7,13.8,57297,26589,20.974160076562736,34.40719223022461,0.146,0.215,4000,2,0.7,Border State,Non-Border
06015,CA,"Del Norte County, CA",2023,5.7,13.8,57297,26589,20.974160076562736,34.40719223022461,0.146,0.206,3970,2,0.645,Border State,Non-Border
06017,CA,"El Dorado County, CA",2019,4,7,104859,192215,38.82410175418806,25.22289085388184,0.09,0.115,16890,2,0.529,Border State,Non-Border
06017,CA,"El Dorado County, CA",2020,4,7,104859,192215,38.82410175418806,25.22289085388184,0.095,0.104,18100,2,0.539,Border State,Non-Border
06017,CA,"El Dorado County, CA",2021,4,7,104859,192215,38.82410175418806,25.22289085388184,0.08,0.085,15280,2,0.581,Border State,Non-Border
06017,CA,"El Dorado County, CA",2022,4,7,104859,192215,38.82410175418806,25.22289085388184,0.099,0.117,19020,2,0.509,Border State,Non-Border
06017,CA,"El Dorado County, CA",2023,4,7,104859,192215,38.82410175418806,25.22289085388184,0.105,0.124,20130,2,0.476,Border State,Non-Border
06019,CA,"Fresno County, CA",2019,7.5,17.7,68693,1017162,23.854495908489586,13.32706928253174,0.147,0.22,144790,2,0.894,Border State,Non-Border
06019,CA,"Fresno County, CA",2020,7.5,17.7,68693,1017162,23.854495908489586,13.32706928253174,0.144,0.23,142780,2,0.851,Border State,Non-Border
06019,CA,"Fresno County, CA",2021,7.5,17.7,68693,1017162,23.854495908489586,13.32706928253174,0.136,0.19,136560,2,0.824,Border State,Non-Border
06019,CA,"Fresno County, CA",2022,7.5,17.7,68693,1017162,23.854495908489586,13.32706928253174,0.162,0.228,163290,2,0.804,Border State,Non-Border
06019,CA,"Fresno County, CA",2023,7.5,17.7,68693,1017162,23.854495908489586,13.32706928253174,0.17,0.218,171850,2,0.786,Border State,Non-Border
06021,CA,"Glenn County, CA",2019,6.300000000000001,13.5,63247,28129,16.482336518844626,23.44501113891602,0.136,0.183,3790,2,0.929,Border State,Non-Border
06021,CA,"Glenn County, CA",2020,6.300000000000001,13.5,63247,28129,16.482336518844626,23.44501113891602,0.125,0.171,3520,2,0.932,Border State,Non-Border
